title,genre,description
Parasite,Comedy Drama Thriller,A poor family schemes to become employed by a wealthy family and infiltrate their household
No Country for Old Men,Crime Drama Thriller,A hunter stumbles upon drug money and is pursued by a merciless killer while a sheriff investigates the violence
The Departed,Crime Drama Thriller,An undercover cop and a mole in the police force attempt to identify each other while infiltrating an Irish gang in Boston
Knives Out,Comedy Crime Drama Mystery,A detective investigates the death of a patriarch of an eccentric wealthy family
Gone Girl,Drama Mystery Thriller,A man becomes the prime suspect in his wife mysterious disappearance on their fifth wedding anniversary
Prisoners,Crime Drama Mystery Thriller,When two little girls disappear a desperate father takes matters into his own hands while a detective investigates
The Prestige,Drama Mystery Sci-Fi Thriller,Two stage magicians engage in a bitter rivalry and try to create the ultimate illusion while sacrificing everything they have
Memento,Mystery Thriller,A man with short-term memory loss uses notes and tattoos to hunt down his wife murderer
Gladiator,Action Adventure Drama,A Roman general is betrayed and his family murdered by a corrupt prince who then becomes Emperor
300,Action Drama History War,A Spartan king leads his elite force of three hundred warriors against a massive Persian army at the Battle of Thermopylae
Braveheart,Action Biography Drama History War,A Scottish warrior leads his nation in a war for independence against the cruel English king
Saving Private Ryan,Drama History War,A group of US soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action
1917,Drama History War Thriller,Two British soldiers are sent on a dangerous mission across enemy territory to deliver a message that could save 1600 lives
Dunkirk,Action Drama History Thriller War,Allied soldiers from Belgium the British Empire and France are surrounded by the German Army and evacuated during a fierce battle
Hacksaw Ridge,Biography Drama History War,The true story of Desmond Doss who served as a combat medic during World War II refusing to carry a weapon on religious grounds
Mad Max Fury Road,Action Adventure Sci-Fi Thriller,In a post-apocalyptic wasteland a woman rebels against a tyrannical ruler in search of her homeland with the help of a group of female prisoners
John Wick,Action Crime Thriller,An ex-hitman comes out of retirement to track down the gangsters who killed his dog a gift from his recently deceased wife
Top Gun Maverick,Action Drama,After thirty years Maverick is still pushing the envelope as a top naval aviator and must train a group of graduates for a specialized mission
Avatar,Action Adventure Fantasy Sci-Fi,A paraplegic marine dispatched to the moon Pandora falls in love with a native and is torn between following his orders and protecting the alien world
Alien,Horror Sci-Fi Thriller,After a space merchant vessel receives an unknown transmission as a distress call the crew discovers a deadly extraterrestrial creature
Terminator 2 Judgment Day,Action Sci-Fi Thriller,A cyborg is sent back in time to protect the future leader of the human resistance from a more advanced killing machine
The Social Network,Biography Drama,The founding of Facebook and the resulting legal battles between the co-founders of the social networking website
Good Will Hunting,Drama Romance,A janitor at MIT has a gift for mathematics but needs help from a psychologist to find direction in life
Dead Poets Society,Drama,An English teacher at a boys preparatory school inspires his students through his teaching of poetry to seize the day
The Truman Show,Comedy Drama Sci-Fi,An insurance salesman discovers his entire life has been a television show and he is the unwitting star
Her,Drama Romance Sci-Fi,A lonely writer develops an unlikely relationship with an artificial intelligence designed to meet his every need
Ex Machina,Drama Mystery Sci-Fi Thriller,A young programmer is selected to participate in an experiment to test an advanced humanoid robot with artificial intelligence
2001 A Space Odyssey,Adventure Mystery Sci-Fi,After discovering a mysterious artifact buried beneath the Lunar surface a spacecraft travels to Jupiter to find its origins
Eternal Sunshine of the Spotless Mind,Drama Romance Sci-Fi,A couple undergo a medical procedure to erase each other from their memories after their relationship turns sour
A Beautiful Mind,Biography Drama,After a brilliant but asocial mathematician accepts secret work in cryptography his life takes a dramatic change
Requiem for a Dream,Drama,The drug-induced utopias of four Coney Island people are shattered when their addictions become stronger
Rogue One,Action Adventure Sci-Fi,A group of rebels on a desperate mission to steal the plans to the Empire ultimate weapon the Death Star
Mission Impossible Fallout,Action Adventure Thriller,Ethan Hunt and his IMF team race against time after a mission goes wrong allowing a group of terrorists to acquire a set of plutonium cores
Ocean Eleven,Comedy Crime Thriller,Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously
Deadpool,Action Comedy Sci-Fi,A former Special Forces operative turned mercenary is subjected to a rogue experiment that leaves him with accelerated healing powers
Logan,Action Drama Sci-Fi,In the future a weary Logan cares for an ailing Professor X somewhere on the Mexican border but Logan must help a young mutant girl
The Grand Budapest Hotel,Adventure Comedy Crime Drama,The adventures of the legendary concierge of a famous European hotel between the wars and his protege and friendship with a young guest
Knives Out,Comedy Crime Drama Mystery,A detective investigates the death of a patriarch of an eccentric wealthy family
Zodiac,Crime Drama Mystery Thriller,In the late 1960s the Zodiac Killer terrorizes the San Francisco Bay Area and is investigated by detectives and a political cartoonist
Nightcrawler,Crime Drama Thriller,A driven young man who discovers the high-speed world of L.A. crime journalism
Rocky,Drama Sport,A small-time boxer gets a once-in-a-lifetime chance to fight the heavyweight champion in a bout in which he strives to go the distance
The Big Short,Biography Comedy Drama,In 2006-2007 a group of investors bet against the US mortgage market and question the decision of the large banks
Dil Chahta Hai,Comedy Drama Romance,Three best friends have different attitudes towards love and life and their friendship is tested as they grow up and fall in love
Dilwale Dulhania Le Jayenge,Drama Romance,A young man and woman fall in love on a trip through Europe but the woman is already engaged to a man her father has chosen
3 Idiots,Comedy Drama,Two friends embark on a quest for a lost buddy and reminisce about their college days and the lessons their unique friend taught them
PK,Comedy Drama Sci-Fi,An alien lands on Earth and sets out on a mission to find the remote that has been stolen from him by a stranger
Dangal,Action Biography Drama Sport,Former wrestler Mahavir Singh Phogat trains his daughters to become world class wrestlers despite social opposition
Bajrangi Bhaijaan,Adventure Comedy Drama,An Indian man with a kind heart takes a mute Pakistani girl lost in India on a journey to reunite her with her family in Pakistan
Lagaan,Drama History Musical Sport,During Victorian era British India villagers stake the fate of their entire community on a cricket match against the British
Sholay,Action Adventure Drama,Two criminals are hired by a retired police officer to capture a ruthless dacoit terrorizing his village
Gangs of Wasseypur,Action Crime Drama Thriller,A clash between a powerful coal mafia and the families trying to overthrow it spans across three generations
Andhadhun,Crime Music Mystery Thriller,A series of mysterious events change the life of a blind pianist who must contend with the murder of a film actor
Taare Zameen Par,Drama Family,An eight year old boy who has dyslexia struggles in school until a new art teacher helps him discover his true potential
Queen,Adventure Comedy Drama,A naive Delhi girl decides to go on her honeymoon alone after her fiance calls off their wedding
Zindagi Na Milegi Dobara,Adventure Comedy Drama,Three friends take a road trip across Spain going on adventures and confronting their personal issues along the way
Gully Boy,Drama Music,A young man from the slums of Mumbai chases his dream of becoming a rap musician against all odds
Raazi,Drama Spy Thriller,An eighteen year old Kashmiri girl is married off to a Pakistani army officer and becomes a spy for the Indian government
URI The Surgical Strike,Action Drama War,Indian army conducts a covert operation in retaliation for a terrorist attack on an Indian army base in Uri
Drishyam,Crime Drama Mystery Thriller,A man goes to extreme lengths to protect his family from the investigation of a crime they have committed
Andaz Apna Apna,Comedy Romance,Two rivals scheme to marry a rich heiress but end up competing against each other as well as various other characters
Hum Dil De Chuke Sanam,Drama Music Romance,A woman falls in love with a musician against her father wishes but is forced to marry another man who then helps her reunite with her love
Devdas,Drama Romance,A young man separated from his childhood sweetheart by family and society turns to alcohol and a courtesan for solace
Mughal E Azam,Drama History Romance War,A Mughal prince falls in love with a court dancer but his father the Emperor opposes their union
Kal Ho Naa Ho,Comedy Drama Romance,A terminally ill man changes the lives of a sad woman and her family and friends bringing them joy and love
Kabhi Khushi Kabhie Gham,Drama Family Romance,A wealthy man disowns his adopted son for marrying a girl of lower status years later the son attempts a reconciliation
Jab We Met,Comedy Drama Romance,A sad businessman and a talkative girl meet on a train and embark on a journey that changes their lives forever
Rockstar,Drama Music Romance,A young man from Delhi pursues his music career and falls in love with a rich girl becoming a rockstar while facing heartbreak
Gangs of Wasseypur 2,Action Crime Drama Thriller,The blood feud between the Qureshi and Khan families continues as Faizal Khan plots revenge against Ramadhir Singh
Tumbbad,Fantasy Horror Mystery Thriller,A man discovers a treasure trove hidden by Hastar a deity in the mythology of his village and becomes obsessed with it
Stree,Comedy Horror Mystery,A small town is terrorized by a female ghost who abducts men and a group of friends try to protect themselves and their town
Bajirao Mastani,Action Drama History Romance War,A Maratha warrior falls in love with a princess and fights battles both on the battlefield and in his personal life
Padmaavat,Action Drama History Romance War,Queen Padmavati is married to a noble Rajput king who is challenged by the sultan of Delhi who desires her
RRR,Action Adventure Drama,Two legendary revolutionaries raise arms against the British colonial rule in 1920 India in an epic fictional tale
Baahubali The Beginning,Action Adventure Drama Fantasy,A young man is raised by a tribe and discovers his true heritage as he fights to reclaim his kingdom from a tyrant
KGF Chapter 1,Action Crime Drama Thriller,A gangster rises to power in the Kolar Gold Fields and his story is told by a journalist to a politician decades later
Pathaan,Action Spy Thriller,An exiled spy returns to India to protect the country from a deadly terrorist attack by a vengeful former agent
